蝴蝶刀,久经沙场,★,42552,蝴蝶刀（★） | 大马士革钢,103,6699.5,6783.02,1.01,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
蝴蝶刀,久经沙场,★,42594,蝴蝶刀（★） | 都市伪装,152,4149.5,5919.19,1.43,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43440,蝴蝶刀（★ StatTrak™） | 都市伪装,27,4119,6735.14,1.64,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,645513,蝴蝶刀（★ StatTrak™） | 北方森林,5,4099.5,5993.12,1.46,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43442,蝴蝶刀（★ StatTrak™） | 都市伪装,5,4099.5,6028.74,1.47,2024-06-17
蝴蝶刀,破损不堪,★,42540,蝴蝶刀（★） | 北方森林,25,4099.5,6763.43,1.65,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43439,蝴蝶刀（★ StatTrak™） | 都市伪装,19,4099.4,11701.48,2.85,2024-06-17
蝴蝶刀,战痕累累,★,42593,蝴蝶刀（★） | 都市伪装,50,4098.5,9670.65,2.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43427,蝴蝶刀（★ StatTrak™） | 枯焦之色,34,4094,6363.77,1.55,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43415,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,28,4090.5,6676.37,1.63,2024-06-17
蝴蝶刀,破损不堪,★,42596,蝴蝶刀（★） | 都市伪装,28,4088.99,6192.62,1.51,2024-06-17
蝴蝶刀,破损不堪,★,42578,蝴蝶刀（★） | 枯焦之色,29,4079,7925.87,1.94,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,45014,蝴蝶刀（★ StatTrak™） | 北方森林,10,4074.5,5437.18,1.33,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,45474,蝴蝶刀（★ StatTrak™） | 狩猎网格,8,4069,11843.32,2.91,2024-06-17
蝴蝶刀,久经沙场,★,42572,蝴蝶刀（★） | 狩猎网格,73,4068.5,5948.94,1.46,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43425,蝴蝶刀（★ StatTrak™） | 狩猎网格,31,4059.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42575,蝴蝶刀（★） | 枯焦之色,59,4059.5,6579.67,1.62,2024-06-17
蝴蝶刀,破损不堪,★,42562,蝴蝶刀（★） | 森林 DDPAT,24,4049.5,5508.71,1.36,2024-06-17
蝴蝶刀,战痕累累,★,42536,蝴蝶刀（★） | 北方森林,53,4049.5,6187.18,1.53,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43424,蝴蝶刀（★ StatTrak™） | 狩猎网格,14,4048.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42558,蝴蝶刀（★） | 森林 DDPAT,49,4039.5,5986.59,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42571,蝴蝶刀（★） | 狩猎网格,46,4036,6166.58,1.53,2024-06-17
蝴蝶刀,破损不堪,★,42574,蝴蝶刀（★） | 狩猎网格,23,4033.5,9436.9,2.34,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
蝴蝶刀,久经沙场,★,42594,蝴蝶刀（★） | 都市伪装,152,4149.5,5919.19,1.43,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43440,蝴蝶刀（★ StatTrak™） | 都市伪装,27,4119,6735.14,1.64,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,645513,蝴蝶刀（★ StatTrak™） | 北方森林,5,4099.5,5993.12,1.46,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43442,蝴蝶刀（★ StatTrak™） | 都市伪装,5,4099.5,6028.74,1.47,2024-06-17
蝴蝶刀,破损不堪,★,42540,蝴蝶刀（★） | 北方森林,25,4099.5,6763.43,1.65,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43439,蝴蝶刀（★ StatTrak™） | 都市伪装,19,4099.4,11701.48,2.85,2024-06-17
蝴蝶刀,战痕累累,★,42593,蝴蝶刀（★） | 都市伪装,50,4098.5,9670.65,2.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43427,蝴蝶刀（★ StatTrak™） | 枯焦之色,34,4094,6363.77,1.55,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43415,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,28,4090.5,6676.37,1.63,2024-06-17
蝴蝶刀,破损不堪,★,42596,蝴蝶刀（★） | 都市伪装,28,4088.99,6192.62,1.51,2024-06-17
蝴蝶刀,破损不堪,★,42578,蝴蝶刀（★） | 枯焦之色,29,4079,7925.87,1.94,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,45014,蝴蝶刀（★ StatTrak™） | 北方森林,10,4074.5,5437.18,1.33,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,45474,蝴蝶刀（★ StatTrak™） | 狩猎网格,8,4069,11843.32,2.91,2024-06-17
蝴蝶刀,久经沙场,★,42572,蝴蝶刀（★） | 狩猎网格,73,4068.5,5948.94,1.46,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43425,蝴蝶刀（★ StatTrak™） | 狩猎网格,31,4059.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42575,蝴蝶刀（★） | 枯焦之色,59,4059.5,6579.67,1.62,2024-06-17
蝴蝶刀,破损不堪,★,42562,蝴蝶刀（★） | 森林 DDPAT,24,4049.5,5508.71,1.36,2024-06-17
蝴蝶刀,战痕累累,★,42536,蝴蝶刀（★） | 北方森林,53,4049.5,6187.18,1.53,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43424,蝴蝶刀（★ StatTrak™） | 狩猎网格,14,4048.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42558,蝴蝶刀（★） | 森林 DDPAT,49,4039.5,5986.59,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42571,蝴蝶刀（★） | 狩猎网格,46,4036,6166.58,1.53,2024-06-17
蝴蝶刀,破损不堪,★,42574,蝴蝶刀（★） | 狩猎网格,23,4033.5,9436.9,2.34,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,758867,蝴蝶刀（★ StatTrak™） | 深红之网,1,128999,107100.0,0.83,2024-06-17
蝴蝶刀,崭新出厂,★,45456,蝴蝶刀（★） | 深红之网,14,38887.5,39665.76,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,872125,蝴蝶刀（★） | 传说,73,31297.5,31923.95,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,758105,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,1,29999.5,30600.02,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,882379,蝴蝶刀（★ StatTrak™） | 传说,7,27564.5,23215.21,0.84,2024-06-17
蝴蝶刀,崭新出厂,★,42556,蝴蝶刀（★） | 渐变之色,867,23486.5,23956.73,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43413,蝴蝶刀（★ StatTrak™） | 渐变之色,6,21665.5,22099.35,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42557,蝴蝶刀（★） | 渐变之色,36,20949.5,21369.01,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43412,蝴蝶刀（★ StatTrak™） | 渐变之色,111,20799,20910.0,1.01,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,755862,蝴蝶刀（★ StatTrak™） | 多普勒,4,19999.5,15045.0,0.75,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43391,蝴蝶刀（★ StatTrak™） | 蓝钢,2,19999.5,9065.74,0.45,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872121,蝴蝶刀（★ StatTrak™） | 伽玛多普勒,2,19989.5,17850.0,0.89,2024-06-17
蝴蝶刀,崭新出厂,★,871747,蝴蝶刀（★） | 伽玛多普勒,837,18399.5,19257.07,1.05,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,871916,蝴蝶刀（★ StatTrak™） | 伽玛多普勒,107,18099.5,18635.4,1.03,2024-06-17
蝴蝶刀,略有磨损,★,872144,蝴蝶刀（★） | 伽玛多普勒,57,17999.5,18360.01,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43411,蝴蝶刀（★ StatTrak™） | 多普勒,81,17599.5,17952.0,1.02,2024-06-17
蝴蝶刀,略有磨损,★,44001,蝴蝶刀（★） | 多普勒,47,17565.5,17917.32,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,42555,蝴蝶刀（★） | 多普勒,759,16886.5,17225.72,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,872576,蝴蝶刀（★ StatTrak™） | 自动化,6,15887,14145.34,0.89,2024-06-17
蝴蝶刀,崭新出厂,★,871988,蝴蝶刀（★） | 自动化,35,15099.5,14994.0,0.99,2024-06-17
蝴蝶刀,崭新出厂,★,45601,蝴蝶刀（★） | 致命紫罗兰,7,15099.5,14959.98,0.99,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43419,蝴蝶刀（★ StatTrak™） | 渐变大理石,10,14665.5,13973.98,0.95,2024-06-17
蝴蝶刀,略有磨损,★,871909,蝴蝶刀（★） | 传说,260,14399.5,14688.0,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,42563,蝴蝶刀（★） | 渐变大理石,884,14394,14681.9,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42564,蝴蝶刀（★） | 渐变大理石,42,14165,14279.99,1.01,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43418,蝴蝶刀（★ StatTrak™） | 渐变大理石,91,14086.5,14368.71,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,42579,蝴蝶刀（★） | 屠夫,120,13248.5,13513.95,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872518,蝴蝶刀（★ StatTrak™） | 传说,45,13099.5,12597.02,0.96,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,44009,蝴蝶刀（★ StatTrak™） | 表面淬火,5,12999.5,13260.03,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43429,蝴蝶刀（★ StatTrak™） | 屠夫,17,12599.5,12852.02,1.02,2024-06-17
蝴蝶刀,无涂装,★,42530,蝴蝶刀（★）,459,12519.5,12760.18,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42548,蝴蝶刀（★） | 深红之网,225,11329.5,11423.99,1.01,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43404,蝴蝶刀（★ StatTrak™） | 深红之网,37,11259,11484.71,1.02,2024-06-17
蝴蝶刀,略有磨损,★,871951,蝴蝶刀（★） | 自动化,176,11249,11474.48,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,42587,蝴蝶刀（★） | 虎牙,408,11239.5,11321.99,1.01,2024-06-17
蝴蝶刀,无涂装,★ StatTrak™,43389,蝴蝶刀（★ StatTrak™）,59,11098.49,10618.2,0.96,2024-06-17
蝴蝶刀,略有磨损,★,42588,蝴蝶刀（★） | 虎牙,33,10949.5,11168.98,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42581,蝴蝶刀（★） | 屠夫,147,10898.5,10964.98,1.01,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43435,蝴蝶刀（★ StatTrak™） | 虎牙,67,10799.5,10913.98,1.01,2024-06-17
蝴蝶刀,崭新出厂,★,42542,蝴蝶刀（★） | 表面淬火,34,10594,10806.39,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,45124,蝴蝶刀（★ StatTrak™） | 虎牙,3,10587.5,10200.03,0.96,2024-06-17
蝴蝶刀,崭新出厂,★,45197,蝴蝶刀（★） | 噩梦之夜,7,10349.5,10200.03,0.99,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43431,蝴蝶刀（★ StatTrak™） | 屠夫,19,10279.5,10464.18,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872059,蝴蝶刀（★ StatTrak™） | 自动化,41,10189,10342.81,1.02,2024-06-17
蝴蝶刀,久经沙场,★,42580,蝴蝶刀（★） | 屠夫,38,9648.5,9842.01,1.02,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43430,蝴蝶刀（★ StatTrak™） | 屠夫,9,9499.5,8680.22,0.91,2024-06-17
蝴蝶刀,崭新出厂,★,42532,蝴蝶刀（★） | 蓝钢,28,9439.5,9519.68,1.01,2024-06-17
蝴蝶刀,久经沙场,★,871856,蝴蝶刀（★） | 自动化,252,9089.5,9098.39,1.0,2024-06-17
蝴蝶刀,久经沙场,★,872004,蝴蝶刀（★） | 传说,232,8699,8873.49,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,871934,蝴蝶刀（★） | 黑色层压板,32,8687.5,8861.74,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,888022,蝴蝶刀（★ StatTrak™） | 黑色层压板,5,8499.5,8333.37,0.98,2024-06-17
蝴蝶刀,破损不堪,★,872047,蝴蝶刀（★） | 自动化,25,8298.5,8464.97,1.02,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,871977,蝴蝶刀（★ StatTrak™） | 自动化,51,8249.5,8312.99,1.01,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,873110,蝴蝶刀（★ StatTrak™） | 自动化,5,8049.4,8045.79,1.0,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,755736,蝴蝶刀（★ StatTrak™） | 人工染色,2,7999.5,7038.03,0.88,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43400,蝴蝶刀（★ StatTrak™） | 表面淬火,20,7999,8159.47,1.02,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,43407,蝴蝶刀（★ StatTrak™） | 大马士革钢,23,7987.5,8129.37,1.02,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,872105,蝴蝶刀（★ StatTrak™） | 传说,48,7887,7772.43,0.99,2024-06-17
蝴蝶刀,崭新出厂,★,42551,蝴蝶刀（★） | 大马士革钢,106,7688.38,7535.78,0.98,2024-06-17
蝴蝶刀,略有磨损,★,42534,蝴蝶刀（★） | 蓝钢,80,7578.38,7730.42,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42544,蝴蝶刀（★） | 表面淬火,216,7545,7696.4,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43438,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,21,7499.5,7068.57,0.94,2024-06-17
蝴蝶刀,略有磨损,★,42591,蝴蝶刀（★） | 致命紫罗兰,137,7298.5,7242.03,0.99,2024-06-17
蝴蝶刀,略有磨损,★,871903,蝴蝶刀（★） | 黑色层压板,90,7288.3,7394.96,1.01,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,872095,蝴蝶刀（★ StatTrak™） | 自由之手,38,7199.5,7476.58,1.04,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43393,蝴蝶刀（★ StatTrak™） | 蓝钢,10,7179.5,7323.58,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,871931,蝴蝶刀（★） | 自由之手,167,7154.5,7261.69,1.01,2024-06-17
蝴蝶刀,久经沙场,★,42533,蝴蝶刀（★） | 蓝钢,89,7148.5,7261.4,1.02,2024-06-17
蝴蝶刀,略有磨损,★,42553,蝴蝶刀（★） | 大马士革钢,99,7129.5,7272.57,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,871992,蝴蝶刀（★） | 澄澈之水,126,6999,7097.15,1.01,2024-06-17
蝴蝶刀,崭新出厂,★,42583,蝴蝶刀（★） | 人工染色,29,6999,7139.01,1.02,2024-06-17
蝴蝶刀,久经沙场,★,871765,蝴蝶刀（★） | 黑色层压板,112,6979.5,7136.91,1.02,2024-06-17
蝴蝶刀,战痕累累,★,871935,蝴蝶刀（★） | 自动化,76,6945.5,6813.64,0.98,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43409,蝴蝶刀（★ StatTrak™） | 大马士革钢,28,6939,7025.77,1.01,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,872103,蝴蝶刀（★ StatTrak™） | 自动化,20,6899,6834.02,0.99,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43399,蝴蝶刀（★ StatTrak™） | 表面淬火,27,6889.5,6799.34,0.99,2024-06-17
蝴蝶刀,崭新出厂,★ StatTrak™,871990,蝴蝶刀（★ StatTrak™） | 澄澈之水,40,6872.5,7010.46,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872102,蝴蝶刀（★ StatTrak™） | 黑色层压板,28,6799.5,6933.99,1.02,2024-06-17
