MAG-7,久经沙场,普通,35499,MAG-7 | 辐照警报,29,21.13,28.87,1.37,2024-06-17
MAG-7,破损不堪,普通,35501,MAG-7 | 辐照警报,53,20.09,28.37,1.41,2024-06-17
MAG-7,破损不堪,StatTrak™,779376,MAG-7（StatTrak™） | 正义,45,19.4,26.77,1.38,2024-06-17
MAG-7,久经沙场,纪念品,877106,MAG-7（纪念品） | 棱彩阶梯,45,19.18,24.01,1.25,2024-06-17
MAG-7,略有磨损,StatTrak™,871684,MAG-7（StatTrak™） | 铋晶体,202,18.26,25.25,1.38,2024-06-17
MAG-7,崭新出厂,普通,35475,MAG-7 | 灼烧之痕,43,17.72,26.92,1.52,2024-06-17
MAG-7,崭新出厂,纪念品,37784,MAG-7（纪念品） | 暴风呼啸,66,17.08,23.65,1.38,2024-06-17
MAG-7,略有磨损,普通,35513,MAG-7 | 禁卫军,93,16.97,22.93,1.35,2024-06-17
MAG-7,破损不堪,普通,35482,MAG-7 | 硬水,15,16.65,22.93,1.38,2024-06-17
MAG-7,略有磨损,普通,35523,MAG-7 | 海鸟,48,16.38,21.84,1.33,2024-06-17
MAG-7,崭新出厂,普通,35489,MAG-7 | 炽热,215,15.97,23.51,1.47,2024-06-17
MAG-7,久经沙场,普通,35480,MAG-7 | 硬水,25,15.57,20.39,1.31,2024-06-17
MAG-7,久经沙场,普通,35517,MAG-7 | 沙丘之黄,38,15.55,20.31,1.31,2024-06-17
MAG-7,久经沙场,普通,35522,MAG-7 | 海鸟,43,14.74,19.3,1.31,2024-06-17
MAG-7,略有磨损,StatTrak™,38988,MAG-7（StatTrak™） | 炽热,212,14.69,20.39,1.39,2024-06-17
MAG-7,战痕累累,StatTrak™,779283,MAG-7（StatTrak™） | 正义,53,14.34,19.73,1.38,2024-06-17
MAG-7,破损不堪,普通,35524,MAG-7 | 海鸟,40,13.88,19.15,1.38,2024-06-17
MAG-7,久经沙场,普通,35512,MAG-7 | 禁卫军,62,13.86,17.77,1.28,2024-06-17
MAG-7,破损不堪,普通,35514,MAG-7 | 禁卫军,9,13.59,17.34,1.28,2024-06-17
MAG-7,久经沙场,普通,779181,MAG-7 | 正义,455,13.56,18.5,1.36,2024-06-17
MAG-7,战痕累累,普通,35520,MAG-7 | 海鸟,10,13.55,18.14,1.34,2024-06-17
MAG-7,战痕累累,StatTrak™,38976,MAG-7（StatTrak™） | 灼烧之痕,37,12.6,17.63,1.4,2024-06-17
MAG-7,战痕累累,普通,35515,MAG-7 | 沙丘之黄,10,12.33,15.89,1.29,2024-06-17
MAG-7,破损不堪,普通,35519,MAG-7 | 沙丘之黄,13,11.96,14.36,1.2,2024-06-17
MAG-7,崭新出厂,普通,871616,MAG-7 | 铋晶体,638,11.9,16.98,1.43,2024-06-17
MAG-7,崭新出厂,StatTrak™,38990,MAG-7（StatTrak™） | 天空守卫,142,11.75,16.11,1.37,2024-06-17
MAG-7,略有磨损,纪念品,761451,MAG-7（纪念品） | 核芯破裂,40,11.7,15.45,1.32,2024-06-17
MAG-7,略有磨损,普通,35534,MAG-7 | 暴风呼啸,30,11.5,15.67,1.36,2024-06-17
MAG-7,崭新出厂,普通,927307,MAG-7 | 鎏铜,241,11.3,15.53,1.37,2024-06-17
MAG-7,崭新出厂,StatTrak™,38972,MAG-7（StatTrak™） | 钴核,111,11.28,15.96,1.41,2024-06-17
MAG-7,略有磨损,StatTrak™,38979,MAG-7（StatTrak™） | 灼烧之痕,67,10.64,15.53,1.46,2024-06-17
MAG-7,破损不堪,普通,779269,MAG-7 | 正义,92,10.14,12.84,1.27,2024-06-17
MAG-7,略有磨损,普通,762206,MAG-7 | 核芯破裂,371,9.77,13.35,1.37,2024-06-17
MAG-7,崭新出厂,普通,781611,MAG-7 | 北冥有鱼,489,9.68,12.91,1.33,2024-06-17
MAG-7,略有磨损,普通,927357,MAG-7 | 鎏铜,362,9.45,12.19,1.29,2024-06-17
MAG-7,略有磨损,StatTrak™,781570,MAG-7（StatTrak™） | 北冥有鱼,314,9.29,12.19,1.31,2024-06-17
MAG-7,久经沙场,StatTrak™,871581,MAG-7（StatTrak™） | 铋晶体,271,9.17,13.13,1.43,2024-06-17
MAG-7,破损不堪,StatTrak™,38980,MAG-7（StatTrak™） | 灼烧之痕,23,8.95,11.83,1.32,2024-06-17
MAG-7,崭新出厂,普通,35507,MAG-7 | 石雕,104,8.84,11.17,1.26,2024-06-17
MAG-7,久经沙场,StatTrak™,38978,MAG-7（StatTrak™） | 灼烧之痕,31,8.41,10.81,1.29,2024-06-17
MAG-7,略有磨损,StatTrak™,38999,MAG-7（StatTrak™） | 石雕,75,8.34,10.88,1.3,2024-06-17
MAG-7,战痕累累,普通,779206,MAG-7 | 正义,210,8.33,11.03,1.32,2024-06-17
MAG-7,崭新出厂,纪念品,37774,MAG-7（纪念品） | 金属 DDPAT,402,8.18,12.12,1.48,2024-06-17
MAG-7,略有磨损,纪念品,37772,MAG-7（纪念品） | 辐照警报,155,8.18,12.33,1.51,2024-06-17
MAG-7,战痕累累,纪念品,761586,MAG-7（纪念品） | 核芯破裂,41,8.03,12.77,1.59,2024-06-17
MAG-7,战痕累累,StatTrak™,871776,MAG-7（StatTrak™） | 铋晶体,15,7.99,10.66,1.33,2024-06-17
MAG-7,破损不堪,StatTrak™,871410,MAG-7（StatTrak™） | 铋晶体,27,7.71,9.65,1.25,2024-06-17
MAG-7,略有磨损,纪念品,37779,MAG-7（纪念品） | 沙丘之黄,402,7.65,9.65,1.26,2024-06-17
MAG-7,久经沙场,StatTrak™,38987,MAG-7（StatTrak™） | 炽热,264,7.35,9.65,1.31,2024-06-17
MAG-7,崭新出厂,普通,45265,MAG-7 | SWAG-7,199,7.29,10.88,1.49,2024-06-17
MAG-7,略有磨损,StatTrak™,45317,MAG-7（StatTrak™） | SWAG-7,189,7.21,10.45,1.45,2024-06-17
MAG-7,崭新出厂,StatTrak™,921591,MAG-7（StatTrak™） | 鱼长梦短,119,6.78,7.98,1.18,2024-06-17
MAG-7,破损不堪,StatTrak™,773793,MAG-7（StatTrak™） | 碰碰狗,5,6.64,2.83,0.43,2024-06-17
MAG-7,久经沙场,普通,927331,MAG-7 | 鎏铜,334,6.48,8.34,1.29,2024-06-17
MAG-7,破损不堪,普通,773768,MAG-7 | 碰碰狗,48,6.47,9.79,1.51,2024-06-17
MAG-7,略有磨损,普通,871492,MAG-7 | 铋晶体,624,6.09,8.78,1.44,2024-06-17
MAG-7,略有磨损,普通,35491,MAG-7 | 炽热,386,5.99,8.34,1.39,2024-06-17
MAG-7,略有磨损,StatTrak™,38992,MAG-7（StatTrak™） | 天空守卫,105,5.86,7.25,1.24,2024-06-17
MAG-7,崭新出厂,StatTrak™,39005,MAG-7（StatTrak™） | 声纳,88,5.8,7.84,1.35,2024-06-17
MAG-7,略有磨损,StatTrak™,38974,MAG-7（StatTrak™） | 钴核,127,5.8,7.62,1.31,2024-06-17
MAG-7,破损不堪,StatTrak™,38993,MAG-7（StatTrak™） | 天空守卫,13,5.4,5.51,1.02,2024-06-17
MAG-7,久经沙场,纪念品,761508,MAG-7（纪念品） | 核芯破裂,48,5.05,7.33,1.45,2024-06-17
MAG-7,战痕累累,普通,35464,MAG-7 | 钴核,45,4.98,2.25,0.45,2024-06-17
MAG-7,破损不堪,普通,927343,MAG-7 | 鎏铜,211,4.77,6.24,1.31,2024-06-17
MAG-7,崭新出厂,StatTrak™,773712,MAG-7（StatTrak™） | 碰碰狗,51,4.69,7.47,1.59,2024-06-17
MAG-7,崭新出厂,普通,871135,MAG-7 | 海军之辉,435,4.58,6.67,1.46,2024-06-17
MAG-7,破损不堪,StatTrak™,38989,MAG-7（StatTrak™） | 炽热,76,4.52,5.66,1.25,2024-06-17
MAG-7,破损不堪,普通,871308,MAG-7 | 海军之辉,21,4.34,5.01,1.15,2024-06-17
MAG-7,略有磨损,普通,871133,MAG-7 | 海军之辉,82,4.32,5.3,1.23,2024-06-17
MAG-7,战痕累累,StatTrak™,38985,MAG-7（StatTrak™） | 炽热,93,4.17,5.88,1.41,2024-06-17
MAG-7,久经沙场,StatTrak™,781632,MAG-7（StatTrak™） | 北冥有鱼,338,4.15,5.3,1.28,2024-06-17
MAG-7,战痕累累,普通,871205,MAG-7 | 海军之辉,29,4.04,5.01,1.24,2024-06-17
MAG-7,久经沙场,普通,762205,MAG-7 | 核芯破裂,162,4.01,5.8,1.45,2024-06-17
MAG-7,破损不堪,StatTrak™,39000,MAG-7（StatTrak™） | 石雕,20,4.01,5.08,1.27,2024-06-17
MAG-7,战痕累累,普通,927355,MAG-7 | 鎏铜,125,3.98,5.51,1.38,2024-06-17
MAG-7,久经沙场,普通,871126,MAG-7 | 海军之辉,290,3.98,5.08,1.28,2024-06-17
MAG-7,略有磨损,普通,781572,MAG-7 | 北冥有鱼,1606,3.99,5.51,1.38,2024-06-17
MAG-7,战痕累累,普通,35531,MAG-7 | 暴风呼啸,12,3.96,3.99,1.01,2024-06-17
MAG-7,破损不堪,普通,35478,MAG-7 | 灼烧之痕,25,3.93,6.75,1.72,2024-06-17
MAG-7,崭新出厂,StatTrak™,887039,MAG-7（StatTrak™） | 先见之明,131,3.78,4.79,1.27,2024-06-17
MAG-7,战痕累累,纪念品,761370,MAG-7（纪念品） | 外表生锈,572,0.49,0.8,1.63,2024-06-17
MAG-7,略有磨损,普通,886611,MAG-7 | 先见之明,805,0.49,0.73,1.49,2024-06-17
MAG-7,破损不堪,普通,35530,MAG-7 | 声纳,26,0.46,0.73,1.59,2024-06-17
MAG-7,久经沙场,普通,921421,MAG-7 | 鱼长梦短,909,0.3,0.51,1.7,2024-06-17
MAG-7,战痕累累,普通,886685,MAG-7 | 先见之明,245,0.27,0.51,1.89,2024-06-17
MAG-7,战痕累累,普通,921487,MAG-7 | 鱼长梦短,500,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,921431,MAG-7 | 鱼长梦短,418,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,887031,MAG-7 | 先见之明,58,0.2,0.44,2.2,2024-06-17
MAG-7,久经沙场,普通,886633,MAG-7 | 先见之明,1941,0.21,0.51,2.43,2024-06-17
MAG-7,崭新出厂,普通,762050,MAG-7 | 外表生锈,341,0.21,0.44,2.1,2024-06-17
MAG-7,久经沙场,纪念品,37785,MAG-7（纪念品） | 暴风呼啸,1377,0.11,0.29,2.64,2024-06-17
MAG-7,崭新出厂,纪念品,876866,MAG-7（纪念品） | 海军之辉,2860,0.1,0.29,2.9,2024-06-17
MAG-7,破损不堪,纪念品,37787,MAG-7（纪念品） | 暴风呼啸,167,0.09,0.29,3.22,2024-06-17
MAG-7,略有磨损,普通,762067,MAG-7 | 外表生锈,520,0.08,0.22,2.75,2024-06-17
MAG-7,破损不堪,纪念品,761325,MAG-7（纪念品） | 外表生锈,418,0.06,0.22,3.67,2024-06-17
MAG-7,战痕累累,纪念品,37783,MAG-7（纪念品） | 暴风呼啸,296,0.06,0.29,4.83,2024-06-17
MAG-7,略有磨损,纪念品,761347,MAG-7（纪念品） | 外表生锈,537,0.06,0.22,3.67,2024-06-17
MAG-7,久经沙场,普通,762079,MAG-7 | 外表生锈,564,0.05,0.22,4.4,2024-06-17
MAG-7,破损不堪,纪念品,876925,MAG-7（纪念品） | 海军之辉,267,0.03,0.22,7.33,2024-06-17
MAG-7,略有磨损,纪念品,876865,MAG-7（纪念品） | 海军之辉,2608,0.03,0.22,7.33,2024-06-17
MAG-7,破损不堪,普通,762092,MAG-7 | 外表生锈,325,0.03,0.22,7.33,2024-06-17
MAG-7,久经沙场,纪念品,761327,MAG-7（纪念品） | 外表生锈,685,0.03,0.22,7.33,2024-06-17
MAG-7,战痕累累,纪念品,876914,MAG-7（纪念品） | 海军之辉,403,0.02,0.22,11.0,2024-06-17
MAG-7,久经沙场,纪念品,876856,MAG-7（纪念品） | 海军之辉,5185,0.02,0.22,11.0,2024-06-17
MAG-7,战痕累累,普通,762049,MAG-7 | 外表生锈,1248,0.02,0.22,11.0,2024-06-17
MAG-7,战痕累累,纪念品,761370,MAG-7（纪念品） | 外表生锈,572,0.49,0.8,1.63,2024-06-17
MAG-7,略有磨损,普通,886611,MAG-7 | 先见之明,805,0.49,0.73,1.49,2024-06-17
MAG-7,破损不堪,普通,35530,MAG-7 | 声纳,26,0.46,0.73,1.59,2024-06-17
MAG-7,久经沙场,普通,921421,MAG-7 | 鱼长梦短,909,0.3,0.51,1.7,2024-06-17
MAG-7,战痕累累,普通,886685,MAG-7 | 先见之明,245,0.27,0.51,1.89,2024-06-17
MAG-7,战痕累累,普通,921487,MAG-7 | 鱼长梦短,500,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,921431,MAG-7 | 鱼长梦短,418,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,887031,MAG-7 | 先见之明,58,0.2,0.44,2.2,2024-06-17
MAG-7,久经沙场,普通,886633,MAG-7 | 先见之明,1941,0.21,0.51,2.43,2024-06-17
MAG-7,崭新出厂,普通,762050,MAG-7 | 外表生锈,341,0.21,0.44,2.1,2024-06-17
MAG-7,久经沙场,纪念品,37785,MAG-7（纪念品） | 暴风呼啸,1377,0.11,0.29,2.64,2024-06-17
MAG-7,崭新出厂,纪念品,876866,MAG-7（纪念品） | 海军之辉,2860,0.1,0.29,2.9,2024-06-17
MAG-7,破损不堪,纪念品,37787,MAG-7（纪念品） | 暴风呼啸,167,0.09,0.29,3.22,2024-06-17
MAG-7,略有磨损,普通,762067,MAG-7 | 外表生锈,520,0.08,0.22,2.75,2024-06-17
MAG-7,破损不堪,纪念品,761325,MAG-7（纪念品） | 外表生锈,418,0.06,0.22,3.67,2024-06-17
MAG-7,战痕累累,纪念品,37783,MAG-7（纪念品） | 暴风呼啸,296,0.06,0.29,4.83,2024-06-17
MAG-7,略有磨损,纪念品,761347,MAG-7（纪念品） | 外表生锈,537,0.06,0.22,3.67,2024-06-17
MAG-7,久经沙场,普通,762079,MAG-7 | 外表生锈,564,0.05,0.22,4.4,2024-06-17
MAG-7,破损不堪,纪念品,876925,MAG-7（纪念品） | 海军之辉,267,0.03,0.22,7.33,2024-06-17
MAG-7,略有磨损,纪念品,876865,MAG-7（纪念品） | 海军之辉,2608,0.03,0.22,7.33,2024-06-17
MAG-7,破损不堪,普通,762092,MAG-7 | 外表生锈,325,0.03,0.22,7.33,2024-06-17
MAG-7,久经沙场,纪念品,761327,MAG-7（纪念品） | 外表生锈,685,0.03,0.22,7.33,2024-06-17
MAG-7,战痕累累,纪念品,876914,MAG-7（纪念品） | 海军之辉,403,0.02,0.22,11.0,2024-06-17
MAG-7,久经沙场,纪念品,876856,MAG-7（纪念品） | 海军之辉,5185,0.02,0.22,11.0,2024-06-17
MAG-7,战痕累累,普通,762049,MAG-7 | 外表生锈,1248,0.02,0.22,11.0,2024-06-17
MAG-7,战痕累累,纪念品,761370,MAG-7（纪念品） | 外表生锈,572,0.49,0.8,1.63,2024-06-17
MAG-7,略有磨损,普通,886611,MAG-7 | 先见之明,805,0.49,0.73,1.49,2024-06-17
MAG-7,破损不堪,普通,35530,MAG-7 | 声纳,26,0.46,0.73,1.59,2024-06-17
MAG-7,久经沙场,普通,921421,MAG-7 | 鱼长梦短,909,0.3,0.51,1.7,2024-06-17
MAG-7,战痕累累,普通,886685,MAG-7 | 先见之明,245,0.27,0.51,1.89,2024-06-17
MAG-7,战痕累累,普通,921487,MAG-7 | 鱼长梦短,500,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,921431,MAG-7 | 鱼长梦短,418,0.22,0.44,2.0,2024-06-17
MAG-7,破损不堪,普通,887031,MAG-7 | 先见之明,58,0.2,0.44,2.2,2024-06-17
MAG-7,久经沙场,普通,886633,MAG-7 | 先见之明,1941,0.21,0.51,2.43,2024-06-17
MAG-7,崭新出厂,普通,762050,MAG-7 | 外表生锈,341,0.21,0.44,2.1,2024-06-17
MAG-7,久经沙场,纪念品,37785,MAG-7（纪念品） | 暴风呼啸,1377,0.11,0.29,2.64,2024-06-17
MAG-7,崭新出厂,纪念品,876866,MAG-7（纪念品） | 海军之辉,2860,0.1,0.29,2.9,2024-06-17
MAG-7,破损不堪,纪念品,37787,MAG-7（纪念品） | 暴风呼啸,167,0.09,0.29,3.22,2024-06-17
MAG-7,略有磨损,普通,762067,MAG-7 | 外表生锈,520,0.08,0.22,2.75,2024-06-17
MAG-7,破损不堪,纪念品,761325,MAG-7（纪念品） | 外表生锈,418,0.06,0.22,3.67,2024-06-17
MAG-7,战痕累累,纪念品,37783,MAG-7（纪念品） | 暴风呼啸,296,0.06,0.29,4.83,2024-06-17
MAG-7,略有磨损,纪念品,761347,MAG-7（纪念品） | 外表生锈,537,0.06,0.22,3.67,2024-06-17
MAG-7,久经沙场,普通,762079,MAG-7 | 外表生锈,564,0.05,0.22,4.4,2024-06-17
MAG-7,破损不堪,纪念品,876925,MAG-7（纪念品） | 海军之辉,267,0.03,0.22,7.33,2024-06-17
MAG-7,略有磨损,纪念品,876865,MAG-7（纪念品） | 海军之辉,2608,0.03,0.22,7.33,2024-06-17
MAG-7,破损不堪,普通,762092,MAG-7 | 外表生锈,325,0.03,0.22,7.33,2024-06-17
MAG-7,久经沙场,纪念品,761327,MAG-7（纪念品） | 外表生锈,685,0.03,0.22,7.33,2024-06-17
MAG-7,战痕累累,纪念品,876914,MAG-7（纪念品） | 海军之辉,403,0.02,0.22,11.0,2024-06-17
MAG-7,久经沙场,纪念品,876856,MAG-7（纪念品） | 海军之辉,5185,0.02,0.22,11.0,2024-06-17
MAG-7,战痕累累,普通,762049,MAG-7 | 外表生锈,1248,0.02,0.22,11.0,2024-06-17
MAG-7,崭新出厂,纪念品,43909,MAG-7（纪念品） | 威吓者,3,9998.5,5711.2,0.57,2024-06-17
MAG-7,破损不堪,普通,776260,MAG-7 | 五指短剑,4,4799.5,8897.07,1.85,2024-06-17
MAG-7,崭新出厂,普通,776728,MAG-7 | 五指短剑,39,4379.5,6745.88,1.54,2024-06-17
MAG-7,略有磨损,普通,776418,MAG-7 | 五指短剑,7,3998,9030.27,2.26,2024-06-17
MAG-7,久经沙场,普通,776229,MAG-7 | 五指短剑,8,3684.5,5014.95,1.36,2024-06-17
MAG-7,战痕累累,普通,776883,MAG-7 | 五指短剑,4,2898.5,3772.5,1.3,2024-06-17
MAG-7,崭新出厂,普通,35460,MAG-7 | 威吓者,24,879.49,1498.19,1.7,2024-06-17
MAG-7,崭新出厂,普通,35470,MAG-7 | 反梗精英,35,828.5,1434.78,1.73,2024-06-17
MAG-7,略有磨损,普通,35472,MAG-7 | 反梗精英,2,799.49,1267.41,1.59,2024-06-17
MAG-7,久经沙场,普通,35471,MAG-7 | 反梗精英,2,789.5,1047.67,1.33,2024-06-17
MAG-7,破损不堪,普通,35473,MAG-7 | 反梗精英,1,779.5,1210.03,1.55,2024-06-17
MAG-7,战痕累累,普通,35469,MAG-7 | 反梗精英,2,760.5,1548.1,2.04,2024-06-17
MAG-7,崭新出厂,普通,35484,MAG-7 | 危机色调,6,587.5,1238.54,2.11,2024-06-17
MAG-7,久经沙场,普通,871884,MAG-7 | 棱彩阶梯,4,304.5,353.38,1.16,2024-06-17
MAG-7,崭新出厂,普通,871604,MAG-7 | 棱彩阶梯,67,301.5,417.15,1.38,2024-06-17
MAG-7,略有磨损,普通,871858,MAG-7 | 棱彩阶梯,12,296.5,471.56,1.59,2024-06-17
MAG-7,略有磨损,纪念品,37767,MAG-7（纪念品） | 威吓者,42,282.85,387.19,1.37,2024-06-17
MAG-7,略有磨损,普通,774846,MAG-7 | 坚固链甲,13,198.5,238.83,1.2,2024-06-17
MAG-7,崭新出厂,普通,775040,MAG-7 | 坚固链甲,31,196.5,246.74,1.26,2024-06-17
MAG-7,久经沙场,普通,775673,MAG-7 | 坚固链甲,5,189.5,245.72,1.3,2024-06-17
MAG-7,崭新出厂,StatTrak™,779415,MAG-7（StatTrak™） | 正义,71,176.59,249.71,1.41,2024-06-17
MAG-7,崭新出厂,纪念品,761935,MAG-7（纪念品） | 核芯破裂,15,169.5,239.41,1.41,2024-06-17
MAG-7,崭新出厂,普通,35516,MAG-7 | 沙丘之黄,7,149.5,279.67,1.87,2024-06-17
MAG-7,崭新出厂,纪念品,37770,MAG-7（纪念品） | 辐照警报,7,133.39,210.46,1.58,2024-06-17
MAG-7,略有磨损,普通,35526,MAG-7 | 银质,10,129.5,220.55,1.7,2024-06-17
MAG-7,崭新出厂,普通,35498,MAG-7 | 辐照警报,5,127.5,250.07,1.96,2024-06-17
MAG-7,崭新出厂,普通,35525,MAG-7 | 银质,111,126.07,174.55,1.38,2024-06-17
MAG-7,略有磨损,普通,35462,MAG-7 | 威吓者,84,119.69,159.61,1.33,2024-06-17
MAG-7,崭新出厂,纪念品,877069,MAG-7（纪念品） | 棱彩阶梯,47,111.5,159.75,1.43,2024-06-17
MAG-7,略有磨损,普通,35486,MAG-7 | 危机色调,14,91.63,116.08,1.27,2024-06-17
MAG-7,略有磨损,纪念品,37782,MAG-7（纪念品） | 银质,19,81.9,120.21,1.47,2024-06-17
MAG-7,崭新出厂,StatTrak™,38977,MAG-7（StatTrak™） | 灼烧之痕,17,79.45,104.47,1.31,2024-06-17
MAG-7,崭新出厂,纪念品,37781,MAG-7（纪念品） | 银质,546,77.9,103.74,1.33,2024-06-17
MAG-7,崭新出厂,普通,35532,MAG-7 | 暴风呼啸,6,76.68,99.83,1.3,2024-06-17
MAG-7,久经沙场,普通,35485,MAG-7 | 危机色调,4,74.34,98.67,1.33,2024-06-17
MAG-7,破损不堪,普通,35487,MAG-7 | 危机色调,3,71.63,108.82,1.52,2024-06-17
MAG-7,久经沙场,纪念品,37766,MAG-7（纪念品） | 威吓者,106,68.9,90.69,1.32,2024-06-17
MAG-7,崭新出厂,纪念品,37777,MAG-7（纪念品） | 沙丘之黄,24,67.4,87.71,1.3,2024-06-17
MAG-7,破损不堪,纪念品,37768,MAG-7（纪念品） | 威吓者,12,65.01,96.85,1.49,2024-06-17
MAG-7,崭新出厂,普通,779243,MAG-7 | 正义,168,64.84,87.86,1.36,2024-06-17
MAG-7,崭新出厂,StatTrak™,38994,MAG-7（StatTrak™） | 记忆碎片,38,63.73,80.31,1.26,2024-06-17
MAG-7,战痕累累,普通,35483,MAG-7 | 危机色调,5,62.25,96.85,1.56,2024-06-17
MAG-7,略有磨损,StatTrak™,779324,MAG-7（StatTrak™） | 正义,115,59.56,78.79,1.32,2024-06-17
MAG-7,崭新出厂,StatTrak™,38986,MAG-7（StatTrak™） | 炽热,85,56.8,84.81,1.49,2024-06-17
MAG-7,战痕累累,纪念品,37765,MAG-7（纪念品） | 威吓者,20,54.59,80.75,1.48,2024-06-17
MAG-7,崭新出厂,StatTrak™,39001,MAG-7（StatTrak™） | 禁卫军,34,54.04,72.55,1.34,2024-06-17
MAG-7,略有磨损,纪念品,876969,MAG-7（纪念品） | 棱彩阶梯,52,47.9,71.53,1.49,2024-06-17
MAG-7,崭新出厂,普通,35502,MAG-7 | 记忆碎片,32,45.98,60.65,1.32,2024-06-17
MAG-7,略有磨损,StatTrak™,38996,MAG-7（StatTrak™） | 记忆碎片,13,44.9,46.43,1.03,2024-06-17
MAG-7,破损不堪,StatTrak™,38984,MAG-7（StatTrak™） | 硬水,4,42.9,26.84,0.63,2024-06-17
MAG-7,略有磨损,纪念品,37775,MAG-7（纪念品） | 金属 DDPAT,24,40.37,48.46,1.2,2024-06-17
MAG-7,崭新出厂,普通,835367,MAG-7 | 碳素纤维,139,39.86,50.49,1.27,2024-06-17
MAG-7,略有磨损,普通,835364,MAG-7 | 碳素纤维,48,39.8,49.84,1.25,2024-06-17
MAG-7,久经沙场,普通,35461,MAG-7 | 威吓者,85,38.67,52.74,1.36,2024-06-17
MAG-7,崭新出厂,StatTrak™,38981,MAG-7（StatTrak™） | 硬水,37,37.65,49.04,1.3,2024-06-17
MAG-7,略有磨损,普通,35504,MAG-7 | 记忆碎片,12,36.94,43.75,1.18,2024-06-17
