MP7,崭新出厂,纪念品,756679,MP7（纪念品） | 陆军斥候,1,9998.5,1142.41,0.11,2024-06-17
MP7,崭新出厂,普通,35622,MP7 | 银装素裹,10,2920.5,5303.19,1.82,2024-06-17
MP7,久经沙场,普通,774883,MP7 | 青之绽放,4,887,1161.06,1.31,2024-06-17
MP7,崭新出厂,普通,775880,MP7 | 青之绽放,11,829.5,1075.6,1.3,2024-06-17
MP7,略有磨损,普通,775725,MP7 | 青之绽放,11,778.83,1386.32,1.78,2024-06-17
MP7,崭新出厂,纪念品,37788,MP7（纪念品） | 深蓝电镀处理,11,545.49,988.32,1.81,2024-06-17
MP7,战痕累累,纪念品,37789,MP7（纪念品） | 陆军斥候,3,499.5,174.12,0.35,2024-06-17
MP7,略有磨损,普通,35624,MP7 | 银装素裹,43,449.4,732.59,1.63,2024-06-17
MP7,战痕累累,普通,35576,MP7 | 逮捕者,1,247.5,274.16,1.11,2024-06-17
MP7,战痕累累,普通,35600,MP7 | 橄榄格纹,10,219.98,47.88,0.22,2024-06-17
MP7,崭新出厂,普通,35577,MP7 | 逮捕者,14,204.48,300.64,1.47,2024-06-17
MP7,崭新出厂,普通,35582,MP7 | 地下水,4,199.5,270.89,1.36,2024-06-17
MP7,久经沙场,普通,35578,MP7 | 逮捕者,7,195.5,237.3,1.21,2024-06-17
MP7,略有磨损,普通,35579,MP7 | 逮捕者,1,189.5,288.67,1.52,2024-06-17
MP7,崭新出厂,纪念品,37799,MP7（纪念品） | 橘皮涂装,4,179,174.12,0.97,2024-06-17
MP7,崭新出厂,普通,35606,MP7 | 橘皮涂装,3,179,185.72,1.04,2024-06-17
MP7,崭新出厂,纪念品,761368,MP7（纪念品） | 渐变之色,113,178.38,263.86,1.48,2024-06-17
MP7,崭新出厂,StatTrak™,39027,MP7（StatTrak™） | 复仇者,64,169.2,229.69,1.36,2024-06-17
MP7,略有磨损,StatTrak™,39033,MP7（StatTrak™） | 死亡骷髅,43,163.95,206.25,1.26,2024-06-17
MP7,略有磨损,普通,35611,MP7 | 死亡骷髅,40,161.04,221.05,1.37,2024-06-17
MP7,久经沙场,普通,35610,MP7 | 死亡骷髅,32,158,208.21,1.32,2024-06-17
MP7,久经沙场,StatTrak™,39032,MP7（StatTrak™） | 死亡骷髅,26,154.38,211.7,1.37,2024-06-17
MP7,略有磨损,纪念品,761373,MP7（纪念品） | 渐变之色,68,114.96,161.85,1.41,2024-06-17
MP7,久经沙场,纪念品,761453,MP7（纪念品） | 渐变之色,17,109,141.47,1.3,2024-06-17
MP7,破损不堪,纪念品,37792,MP7（纪念品） | 陆军斥候,5,108.5,137.26,1.27,2024-06-17
MP7,崭新出厂,StatTrak™,45448,MP7（StatTrak™） | 血腥运动,88,104.5,147.27,1.41,2024-06-17
MP7,破损不堪,普通,35609,MP7 | 橘皮涂装,4,98.9,123.26,1.25,2024-06-17
MP7,略有磨损,普通,35608,MP7 | 橘皮涂装,10,94.8,105.19,1.11,2024-06-17
MP7,崭新出厂,StatTrak™,887073,MP7（StatTrak™） | 幽幻深渊,77,90.56,129.79,1.43,2024-06-17
MP7,久经沙场,普通,35607,MP7 | 橘皮涂装,18,88.49,115.64,1.31,2024-06-17
MP7,略有磨损,StatTrak™,39029,MP7（StatTrak™） | 复仇者,32,87.98,114.48,1.3,2024-06-17
MP7,破损不堪,普通,35625,MP7 | 银装素裹,5,87.62,105.27,1.2,2024-06-17
MP7,战痕累累,普通,35621,MP7 | 银装素裹,5,84.04,92.93,1.11,2024-06-17
MP7,崭新出厂,StatTrak™,776521,MP7（StatTrak™） | 七彩斑斓,12,81.9,111.29,1.36,2024-06-17
MP7,战痕累累,普通,35605,MP7 | 橘皮涂装,5,81.9,115.64,1.41,2024-06-17
MP7,略有磨损,纪念品,37791,MP7（纪念品） | 陆军斥候,9,79.9,88.87,1.11,2024-06-17
MP7,久经沙场,普通,35623,MP7 | 银装素裹,56,70.9,102.44,1.44,2024-06-17
MP7,崭新出厂,普通,35587,MP7 | 硝烟,17,67.62,103.74,1.53,2024-06-17
MP7,略有磨损,StatTrak™,39031,MP7（StatTrak™） | 海之泡沫,17,67.12,89.67,1.34,2024-06-17
MP7,崭新出厂,普通,35595,MP7 | 复仇者,171,66.72,93.22,1.4,2024-06-17
MP7,崭新出厂,StatTrak™,39030,MP7（StatTrak™） | 海之泡沫,90,64.14,86.77,1.35,2024-06-17
MP7,崭新出厂,普通,776190,MP7 | 枯焦之色,13,59.8,99.83,1.67,2024-06-17
MP7,崭新出厂,StatTrak™,39035,MP7（StatTrak™） | 速递,28,57.89,75.6,1.31,2024-06-17
MP7,久经沙场,StatTrak™,39028,MP7（StatTrak™） | 复仇者,25,55.87,92.72,1.66,2024-06-17
MP7,崭新出厂,StatTrak™,39023,MP7（StatTrak™） | 帝国,57,51.8,70.88,1.37,2024-06-17
MP7,崭新出厂,StatTrak™,759303,MP7（StatTrak™） | 权力之心,28,51.5,63.91,1.24,2024-06-17
MP7,破损不堪,普通,35604,MP7 | 橄榄格纹,4,49.77,42.37,0.85,2024-06-17
MP7,久经沙场,纪念品,37790,MP7（纪念品） | 陆军斥候,17,46.08,52.74,1.14,2024-06-17
MP7,略有磨损,普通,775128,MP7 | 枯焦之色,26,45.14,57.31,1.27,2024-06-17
MP7,破损不堪,普通,835798,MP7 | 金库悍匪,2,44.9,31.7,0.71,2024-06-17
MP7,战痕累累,普通,835684,MP7 | 绿野迷踪,13,44.14,60.94,1.38,2024-06-17
MP7,略有磨损,StatTrak™,776194,MP7（StatTrak™） | 七彩斑斓,10,43.79,61.23,1.4,2024-06-17
MP7,略有磨损,普通,35597,MP7 | 复仇者,130,43.48,57.82,1.33,2024-06-17
MP7,久经沙场,普通,774735,MP7 | 枯焦之色,31,43.32,52.96,1.22,2024-06-17
MP7,略有磨损,StatTrak™,45318,MP7（StatTrak™） | 血腥运动,140,42.4,62.61,1.48,2024-06-17
MP7,破损不堪,普通,775018,MP7 | 枯焦之色,6,41.9,63.12,1.51,2024-06-17
MP7,战痕累累,普通,774890,MP7 | 枯焦之色,8,41.9,55.06,1.31,2024-06-17
MP7,崭新出厂,普通,887027,MP7 | 幽幻深渊,284,41.6,57.39,1.38,2024-06-17
MP7,破损不堪,普通,35590,MP7 | 硝烟,4,40.9,22.93,0.56,2024-06-17
MP7,崭新出厂,StatTrak™,956616,MP7（StatTrak™） | 笑一个,32,40.09,60.07,1.5,2024-06-17
MP7,略有磨损,普通,33842,MP7 | 星点,3,39.37,45.71,1.16,2024-06-17
MP7,崭新出厂,普通,762133,MP7 | 渐变之色,1756,38.78,51.36,1.32,2024-06-17
MP7,崭新出厂,普通,35564,MP7 | 星点,58,37.98,50.57,1.33,2024-06-17
MP7,略有磨损,StatTrak™,39025,MP7（StatTrak™） | 帝国,23,37.44,49.48,1.32,2024-06-17
MP7,崭新出厂,纪念品,37794,MP7（纪念品） | 硝烟,25,36.84,57.24,1.55,2024-06-17
MP7,破损不堪,StatTrak™,39026,MP7（StatTrak™） | 帝国,6,35.17,52.81,1.5,2024-06-17
MP7,久经沙场,普通,35596,MP7 | 复仇者,18,34.88,46.94,1.35,2024-06-17
MP7,久经沙场,普通,35565,MP7 | 星点,39,33.59,42.15,1.25,2024-06-17
MP7,崭新出厂,普通,775084,MP7 | 七彩斑斓,45,32.29,49.41,1.53,2024-06-17
MP7,略有磨损,StatTrak™,886635,MP7（StatTrak™） | 幽幻深渊,169,31.8,44.47,1.4,2024-06-17
MP7,战痕累累,普通,35563,MP7 | 星点,29,31.53,39.76,1.26,2024-06-17
MP7,略有磨损,StatTrak™,39037,MP7（StatTrak™） | 速递,34,30.9,43.53,1.41,2024-06-17
MP7,破损不堪,普通,35566,MP7 | 星点,7,29.84,47.74,1.6,2024-06-17
MP7,略有磨损,普通,835441,MP7 | 绿野迷踪,39,27.69,31.99,1.16,2024-06-17
MP7,久经沙场,StatTrak™,39024,MP7（StatTrak™） | 帝国,23,27.69,36.85,1.33,2024-06-17
MP7,破损不堪,StatTrak™,45494,MP7（StatTrak™） | 血腥运动,11,27.3,44.62,1.63,2024-06-17
MP7,略有磨损,普通,762135,MP7 | 渐变之色,708,26.5,33.52,1.26,2024-06-17
MP7,崭新出厂,普通,835748,MP7 | 绿野迷踪,47,26.42,34.03,1.29,2024-06-17
MP7,略有磨损,普通,35589,MP7 | 硝烟,50,25.92,32.5,1.25,2024-06-17
MP7,崭新出厂,普通,35601,MP7 | 橄榄格纹,14,25.83,42.66,1.65,2024-06-17
MP7,略有磨损,普通,35584,MP7 | 地下水,9,25.65,40.63,1.58,2024-06-17
MP7,崭新出厂,普通,35591,MP7 | 帝国,153,25.47,33.08,1.3,2024-06-17
MP7,久经沙场,普通,835642,MP7 | 绿野迷踪,18,25.4,30.11,1.19,2024-06-17
MP7,崭新出厂,普通,35613,MP7 | 速递,72,24.64,31.99,1.3,2024-06-17
MP7,崭新出厂,StatTrak™,871701,MP7（StatTrak™） | 游击队,39,23.98,38.96,1.62,2024-06-17
MP7,崭新出厂,普通,835536,MP7 | 金库悍匪,39,23.89,33.52,1.4,2024-06-17
MP7,战痕累累,普通,35586,MP7 | 硝烟,4,23.79,23.94,1.01,2024-06-17
MP7,略有磨损,普通,35603,MP7 | 橄榄格纹,11,22.93,29.45,1.28,2024-06-17
MP7,略有磨损,普通,835449,MP7 | 金库悍匪,32,22.47,28.87,1.28,2024-06-17
MP7,略有磨损,StatTrak™,956517,MP7（StatTrak™） | 笑一个,91,21.76,28.73,1.32,2024-06-17
MP7,崭新出厂,普通,759264,MP7 | 权力之心,103,21.26,29.74,1.4,2024-06-17
MP7,崭新出厂,普通,45269,MP7 | 血腥运动,709,21.24,29.74,1.4,2024-06-17
MP7,久经沙场,普通,835478,MP7 | 金库悍匪,18,21.2,27.64,1.3,2024-06-17
MP7,战痕累累,StatTrak™,45502,MP7（StatTrak™） | 血腥运动,15,21.12,27.79,1.32,2024-06-17
MP7,战痕累累,普通,835793,MP7 | 金库悍匪,11,20.9,27.93,1.34,2024-06-17
MP7,久经沙场,StatTrak™,39036,MP7（StatTrak™） | 速递,28,20.9,25.03,1.2,2024-06-17
MP7,略有磨损,StatTrak™,759178,MP7（StatTrak™） | 权力之心,41,20.76,28.0,1.35,2024-06-17
MP7,久经沙场,StatTrak™,45424,MP7（StatTrak™） | 血腥运动,152,20.69,32.07,1.55,2024-06-17
MP7,崭新出厂,普通,35598,MP7 | 海之泡沫,201,20.22,27.57,1.36,2024-06-17
MP7,久经沙场,普通,35588,MP7 | 硝烟,63,20.14,26.19,1.3,2024-06-17
MP7,久经沙场,普通,762134,MP7 | 渐变之色,375,20.11,28.37,1.41,2024-06-17
MP7,破损不堪,StatTrak™,39038,MP7（StatTrak™） | 速递,8,18.7,28.37,1.52,2024-06-17
MP7,略有磨损,普通,774989,MP7 | 七彩斑斓,66,18.68,25.03,1.34,2024-06-17
MP7,略有磨损,普通,35599,MP7 | 海之泡沫,15,18.56,28.66,1.54,2024-06-17
MP7,久经沙场,StatTrak™,775621,MP7（StatTrak™） | 七彩斑斓,40,18.2,23.8,1.31,2024-06-17
MP7,略有磨损,普通,886615,MP7 | 幽幻深渊,465,17.28,23.51,1.36,2024-06-17
MP7,略有磨损,普通,35593,MP7 | 帝国,110,17.23,23.07,1.34,2024-06-17
MP7,久经沙场,普通,35602,MP7 | 橄榄格纹,3,16.46,26.41,1.6,2024-06-17
MP7,破损不堪,StatTrak™,775322,MP7（StatTrak™） | 七彩斑斓,28,15.84,18.94,1.2,2024-06-17
MP7,略有磨损,普通,35615,MP7 | 速递,86,15.48,19.44,1.26,2024-06-17
MP7,崭新出厂,StatTrak™,39019,MP7（StatTrak™） | 卷云,157,14.9,21.33,1.43,2024-06-17
MP7,战痕累累,StatTrak™,776414,MP7（StatTrak™） | 七彩斑斓,11,14.8,16.69,1.13,2024-06-17
MP7,崭新出厂,普通,956552,MP7 | 笑一个,200,14.66,19.01,1.3,2024-06-17
MP7,略有磨损,StatTrak™,871598,MP7（StatTrak™） | 游击队,41,14.4,19.44,1.35,2024-06-17
MP7,破损不堪,普通,35594,MP7 | 帝国,8,14.22,20.68,1.45,2024-06-17
MP7,战痕累累,普通,35581,MP7 | 地下水,12,13.78,17.27,1.25,2024-06-17
MP7,久经沙场,普通,35592,MP7 | 帝国,49,13.75,18.43,1.34,2024-06-17
MP7,战痕累累,StatTrak™,39034,MP7（StatTrak™） | 速递,6,13.72,18.57,1.35,2024-06-17
MP7,破损不堪,普通,35585,MP7 | 地下水,12,13.34,23.36,1.75,2024-06-17
MP7,久经沙场,普通,35583,MP7 | 地下水,21,13.26,16.83,1.27,2024-06-17
MP7,久经沙场,StatTrak™,956499,MP7（StatTrak™） | 笑一个,130,12.98,17.12,1.32,2024-06-17
MP7,略有磨损,普通,45386,MP7 | 血腥运动,1459,12.57,16.11,1.28,2024-06-17
MP7,破损不堪,StatTrak™,956580,MP7（StatTrak™） | 笑一个,43,12.49,15.24,1.22,2024-06-17
MP7,久经沙场,StatTrak™,887026,MP7（StatTrak™） | 幽幻深渊,161,12.4,17.19,1.39,2024-06-17
MP7,战痕累累,StatTrak™,956627,MP7（StatTrak™） | 笑一个,47,11.98,14.36,1.2,2024-06-17
MP7,略有磨损,普通,759227,MP7 | 权力之心,82,11.01,13.49,1.23,2024-06-17
MP7,崭新出厂,普通,871426,MP7 | 游击队,17,10.5,16.11,1.53,2024-06-17
MP7,久经沙场,StatTrak™,871412,MP7（StatTrak™） | 游击队,17,9.97,10.08,1.01,2024-06-17
MP7,破损不堪,StatTrak™,871729,MP7（StatTrak™） | 游击队,9,9.79,6.02,0.61,2024-06-17
MP7,久经沙场,普通,775323,MP7 | 七彩斑斓,45,9.72,12.91,1.33,2024-06-17
MP7,破损不堪,StatTrak™,887061,MP7（StatTrak™） | 幽幻深渊,62,9.47,14.44,1.52,2024-06-17
MP7,战痕累累,StatTrak™,887076,MP7（StatTrak™） | 幽幻深渊,81,9.39,14.29,1.52,2024-06-17
MP7,久经沙场,StatTrak™,759436,MP7（StatTrak™） | 权力之心,117,9.14,12.12,1.33,2024-06-17
MP7,略有磨损,纪念品,37801,MP7（纪念品） | 橘皮涂装,106,8.92,12.77,1.43,2024-06-17
MP7,破损不堪,普通,775614,MP7 | 七彩斑斓,14,8.91,10.66,1.2,2024-06-17
MP7,久经沙场,普通,35614,MP7 | 速递,61,8.89,11.24,1.26,2024-06-17
MP7,略有磨损,普通,956505,MP7 | 笑一个,448,8.79,11.03,1.25,2024-06-17
MP7,破损不堪,普通,45465,MP7 | 血腥运动,36,8.39,12.19,1.45,2024-06-17
MP7,破损不堪,StatTrak™,759373,MP7（StatTrak™） | 权力之心,9,8.23,12.33,1.5,2024-06-17
MP7,战痕累累,普通,775266,MP7 | 七彩斑斓,36,7.91,9.43,1.19,2024-06-17
MP7,久经沙场,普通,886610,MP7 | 幽幻深渊,805,7.76,9.43,1.22,2024-06-17
MP7,破损不堪,普通,35616,MP7 | 速递,37,7.6,9.72,1.28,2024-06-17
MP7,战痕累累,StatTrak™,759302,MP7（StatTrak™） | 权力之心,8,7.49,9.21,1.23,2024-06-17
MP7,久经沙场,普通,45270,MP7 | 血腥运动,2038,7.32,9.29,1.27,2024-06-17
MP7,略有磨损,普通,871427,MP7 | 游击队,87,7.06,9.43,1.34,2024-06-17
MP7,略有磨损,StatTrak™,769490,MP7（StatTrak™） | 恶作剧,43,7.04,10.23,1.45,2024-06-17
MP7,战痕累累,普通,45464,MP7 | 血腥运动,154,7,8.56,1.22,2024-06-17
MP7,战痕累累,普通,35612,MP7 | 速递,12,6.84,8.78,1.28,2024-06-17
MP7,破损不堪,纪念品,37802,MP7（纪念品） | 橘皮涂装,31,6.18,8.63,1.4,2024-06-17
MP7,崭新出厂,StatTrak™,39009,MP7（StatTrak™） | 非洲部落,60,5.92,7.84,1.32,2024-06-17
MP7,崭新出厂,普通,871104,MP7 | 掠夺者,167,5.59,7.33,1.31,2024-06-17
MP7,战痕累累,普通,871167,MP7 | 掠夺者,20,5.31,6.09,1.15,2024-06-17
MP7,久经沙场,普通,871159,MP7 | 掠夺者,151,5.31,6.38,1.2,2024-06-17
MP7,破损不堪,普通,871444,MP7 | 掠夺者,11,5.29,6.38,1.21,2024-06-17
MP7,久经沙场,普通,956496,MP7 | 笑一个,673,5.27,6.96,1.32,2024-06-17
MP7,破损不堪,普通,871414,MP7 | 游击队,2,5.27,3.7,0.7,2024-06-17
MP7,破损不堪,普通,886680,MP7 | 幽幻深渊,335,5.26,7.11,1.35,2024-06-17
MP7,略有磨损,普通,871081,MP7 | 掠夺者,135,5.25,6.75,1.29,2024-06-17
MP7,战痕累累,普通,887016,MP7 | 幽幻深渊,383,5.22,7.18,1.38,2024-06-17
MP7,崭新出厂,StatTrak™,39014,MP7（StatTrak™） | 装甲核心,133,4.99,6.89,1.38,2024-06-17
MP7,破损不堪,普通,956462,MP7 | 笑一个,355,4.98,6.09,1.22,2024-06-17
MP7,战痕累累,普通,956572,MP7 | 笑一个,311,4.91,5.66,1.15,2024-06-17
MP7,战痕累累,普通,759263,MP7 | 权力之心,78,4.66,5.08,1.09,2024-06-17
MP7,破损不堪,普通,759364,MP7 | 权力之心,27,4.5,5.51,1.22,2024-06-17
MP7,崭新出厂,StatTrak™,39040,MP7（StatTrak™） | 都市危机,202,4.49,6.75,1.5,2024-06-17
MP7,久经沙场,普通,759212,MP7 | 权力之心,214,4.47,6.24,1.4,2024-06-17
MP7,久经沙场,普通,871255,MP7 | 游击队,100,4.39,6.09,1.39,2024-06-17
MP7,破损不堪,StatTrak™,39022,MP7（StatTrak™） | 卷云,11,4.05,6.02,1.49,2024-06-17
MP7,战痕累累,纪念品,37798,MP7（纪念品） | 橘皮涂装,50,3.99,6.09,1.53,2024-06-17
MP7,战痕累累,StatTrak™,871631,MP7（StatTrak™） | 游击队,28,3.98,6.02,1.51,2024-06-17
MP7,略有磨损,StatTrak™,39011,MP7（StatTrak™） | 非洲部落,62,3.96,5.22,1.32,2024-06-17
MP7,略有磨损,StatTrak™,39021,MP7（StatTrak™） | 卷云,415,3.95,5.66,1.43,2024-06-17
MP7,崭新出厂,普通,35551,MP7 | 深蓝电镀处理,2257,3.29,4.43,1.35,2024-06-17
MP7,战痕累累,StatTrak™,39013,MP7（StatTrak™） | 装甲核心,15,3.28,3.12,0.95,2024-06-17
MP7,崭新出厂,普通,35567,MP7 | 卷云,600,3.28,3.99,1.22,2024-06-17
MP7,久经沙场,纪念品,37800,MP7（纪念品） | 橘皮涂装,267,3.23,4.14,1.28,2024-06-17
MP7,略有磨损,普通,35552,MP7 | 深蓝电镀处理,34,2.92,3.41,1.17,2024-06-17
MP7,略有磨损,普通,769128,MP7 | 恶作剧,93,2.87,3.85,1.34,2024-06-17
MP7,战痕累累,普通,871490,MP7 | 游击队,18,2.7,4.35,1.61,2024-06-17
MP7,略有磨损,纪念品,37796,MP7（纪念品） | 硝烟,225,2.59,3.77,1.46,2024-06-17
MP7,略有磨损,StatTrak™,39042,MP7（StatTrak™） | 都市危机,155,2.58,3.55,1.38,2024-06-17
MP7,崭新出厂,普通,35547,MP7 | 非洲部落,147,2.39,3.34,1.4,2024-06-17
MP7,略有磨损,StatTrak™,39016,MP7（StatTrak™） | 装甲核心,152,2.19,3.12,1.42,2024-06-17
MP7,久经沙场,StatTrak™,39010,MP7（StatTrak™） | 非洲部落,129,2.17,2.76,1.27,2024-06-17
MP7,破损不堪,StatTrak™,39012,MP7（StatTrak™） | 非洲部落,8,2.12,3.12,1.47,2024-06-17
MP7,久经沙场,StatTrak™,769206,MP7（StatTrak™） | 恶作剧,217,1.99,2.83,1.42,2024-06-17
MP7,崭新出厂,纪念品,761454,MP7（纪念品） | 主板,199,1.9,2.83,1.49,2024-06-17
MP7,战痕累累,StatTrak™,39008,MP7（StatTrak™） | 非洲部落,46,1.83,2.32,1.27,2024-06-17
MP7,破损不堪,普通,35550,MP7 | 非洲部落,8,1.8,1.96,1.09,2024-06-17
MP7,崭新出厂,纪念品,877013,MP7（纪念品） | 绿野迷踪,173,1.79,2.61,1.46,2024-06-17
MP7,久经沙场,StatTrak™,39041,MP7（StatTrak™） | 都市危机,173,1.78,2.25,1.26,2024-06-17
MP7,战痕累累,普通,35617,MP7 | 都市危机,10,1.78,1.74,0.98,2024-06-17
MP7,崭新出厂,普通,35554,MP7 | 装甲核心,163,1.7,2.1,1.24,2024-06-17
MP7,战痕累累,StatTrak™,39039,MP7（StatTrak™） | 都市危机,13,1.69,2.03,1.2,2024-06-17
MP7,略有磨损,普通,35549,MP7 | 非洲部落,135,1.68,2.18,1.3,2024-06-17
