USP 消音版,崭新出厂,纪念品,38107,USP 消音版（纪念品） | 午夜行动,2,6999.5,5609.99,0.8,2024-06-17
USP 消音版,战痕累累,纪念品,43913,USP 消音版（纪念品） | 森林之叶,1,6887.5,627.32,0.09,2024-06-17
USP 消音版,略有磨损,纪念品,38109,USP 消音版（纪念品） | 午夜行动,5,3299.5,7247.55,2.2,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39739,USP 消音版（StatTrak™） | 枪响人亡,104,3029,5178.62,1.71,2024-06-17
USP 消音版,崭新出厂,纪念品,38116,USP 消音版（纪念品） | 宝蓝之色,13,1899.5,12411.22,6.53,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39757,USP 消音版（StatTrak™） | 疯狂蔓延,5,1749.5,2167.01,1.24,2024-06-17
USP 消音版,崭新出厂,StatTrak™,900665,USP 消音版（StatTrak™） | 印花集,200,1548.49,2085.76,1.35,2024-06-17
USP 消音版,崭新出厂,普通,871798,USP 消音版 | 银装素裹,111,1498.99,2140.17,1.43,2024-06-17
USP 消音版,略有磨损,StatTrak™,39741,USP 消音版（StatTrak™） | 枪响人亡,109,1438.5,2009.58,1.4,2024-06-17
USP 消音版,崭新出厂,普通,835753,USP 消音版 | 锁定,110,1349.49,2247.39,1.67,2024-06-17
USP 消音版,久经沙场,纪念品,38108,USP 消音版（纪念品） | 午夜行动,5,1110.5,3575.02,3.22,2024-06-17
USP 消音版,崭新出厂,StatTrak™,857715,USP 消音版（StatTrak™） | 倒吊人,57,1035.5,1393.43,1.35,2024-06-17
USP 消音版,略有磨损,StatTrak™,39734,USP 消音版（StatTrak™） | 黑水,54,968,1300.21,1.34,2024-06-17
USP 消音版,略有磨损,普通,835723,USP 消音版 | 锁定,48,959.4,1523.07,1.59,2024-06-17
USP 消音版,久经沙场,普通,835728,USP 消音版 | 锁定,10,934.5,1192.76,1.28,2024-06-17
USP 消音版,崭新出厂,普通,42181,USP 消音版 | 枪响人亡,283,929.9,1354.69,1.46,2024-06-17
USP 消音版,久经沙场,StatTrak™,39733,USP 消音版（StatTrak™） | 黑水,17,899.5,1096.93,1.22,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39720,USP 消音版（StatTrak™） | 蓝图,81,835.1,1199.73,1.44,2024-06-17
USP 消音版,久经沙场,StatTrak™,39740,USP 消音版（StatTrak™） | 枪响人亡,102,789.5,1153.44,1.46,2024-06-17
USP 消音版,崭新出厂,StatTrak™,43935,USP 消音版（StatTrak™） | 猎户,170,724.5,1006.39,1.39,2024-06-17
USP 消音版,略有磨损,StatTrak™,900546,USP 消音版（StatTrak™） | 印花集,322,707.3,1027.64,1.45,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39724,USP 消音版（StatTrak™） | 凯门鳄,30,688.5,1074.0,1.56,2024-06-17
USP 消音版,崭新出厂,普通,900565,USP 消音版 | 印花集,741,687,898.94,1.31,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39749,USP 消音版（StatTrak™） | 黑色魅影,208,647.48,997.03,1.54,2024-06-17
USP 消音版,略有磨损,StatTrak™,39726,USP 消音版（StatTrak™） | 凯门鳄,9,632.5,781.78,1.24,2024-06-17
USP 消音版,略有磨损,纪念品,38105,USP 消音版（纪念品） | 森林之叶,4,599,848.96,1.42,2024-06-17
USP 消音版,崭新出厂,纪念品,38111,USP 消音版（纪念品） | 公路杀手,33,584.91,938.19,1.6,2024-06-17
USP 消音版,略有磨损,普通,42171,USP 消音版 | 黑水,46,558.29,747.1,1.34,2024-06-17
USP 消音版,战痕累累,StatTrak™,39738,USP 消音版（StatTrak™） | 枪响人亡,17,549,776.26,1.41,2024-06-17
USP 消音版,破损不堪,StatTrak™,39742,USP 消音版（StatTrak™） | 枪响人亡,31,547.9,952.12,1.74,2024-06-17
USP 消音版,崭新出厂,StatTrak™,835602,USP 消音版（StatTrak™） | 小绿怪,86,546.5,799.41,1.46,2024-06-17
USP 消音版,略有磨损,StatTrak™,39754,USP 消音版（StatTrak™） | 猎户,54,536.9,857.66,1.6,2024-06-17
USP 消音版,崭新出厂,普通,871547,USP 消音版 | 橙红安乐蜥,95,524.5,779.02,1.49,2024-06-17
USP 消音版,久经沙场,StatTrak™,39753,USP 消音版（StatTrak™） | 猎户,14,519.5,808.84,1.56,2024-06-17
USP 消音版,久经沙场,普通,42170,USP 消音版 | 黑水,29,515,688.63,1.34,2024-06-17
USP 消音版,略有磨损,普通,871574,USP 消音版 | 橙红安乐蜥,20,499.5,688.84,1.38,2024-06-17
USP 消音版,久经沙场,普通,871455,USP 消音版 | 橙红安乐蜥,7,498.5,780.4,1.57,2024-06-17
USP 消音版,久经沙场,纪念品,38104,USP 消音版（纪念品） | 森林之叶,6,498.5,657.65,1.32,2024-06-17
USP 消音版,略有磨损,普通,42183,USP 消音版 | 枪响人亡,414,473.49,647.78,1.37,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39765,USP 消音版（StatTrak™） | 不锈钢,229,449.5,741.3,1.65,2024-06-17
USP 消音版,战痕累累,普通,42200,USP 消音版 | 猎户,2,422.5,428.61,1.01,2024-06-17
USP 消音版,久经沙场,StatTrak™,900640,USP 消音版（StatTrak™） | 印花集,382,397.5,562.39,1.41,2024-06-17
USP 消音版,崭新出厂,普通,42216,USP 消音版 | 公路杀手,126,395.49,541.79,1.37,2024-06-17
USP 消音版,略有磨损,普通,900615,USP 消音版 | 印花集,1714,394.5,526.48,1.33,2024-06-17
USP 消音版,崭新出厂,普通,42221,USP 消音版 | 宝蓝之色,56,385.5,536.64,1.39,2024-06-17
USP 消音版,崭新出厂,普通,42161,USP 消音版 | 凯门鳄,88,379.5,523.58,1.38,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39761,USP 消音版（StatTrak™） | 血清,59,377.4,527.79,1.4,2024-06-17
USP 消音版,崭新出厂,普通,42201,USP 消音版 | 猎户,515,377.38,526.48,1.4,2024-06-17
USP 消音版,破损不堪,普通,42204,USP 消音版 | 猎户,1,376.31,851.5,2.26,2024-06-17
USP 消音版,破损不堪,StatTrak™,900654,USP 消音版（StatTrak™） | 印花集,31,376,529.38,1.41,2024-06-17
USP 消音版,崭新出厂,普通,42225,USP 消音版 | 血清,103,372.5,502.76,1.35,2024-06-17
USP 消音版,崭新出厂,普通,42206,USP 消音版 | 疯狂蔓延,30,369.08,572.98,1.55,2024-06-17
USP 消音版,略有磨损,StatTrak™,39759,USP 消音版（StatTrak™） | 疯狂蔓延,71,368.5,531.41,1.44,2024-06-17
USP 消音版,久经沙场,StatTrak™,39725,USP 消音版（StatTrak™） | 凯门鳄,19,368.4,493.04,1.34,2024-06-17
USP 消音版,久经沙场,StatTrak™,39762,USP 消音版（StatTrak™） | 血清,4,367.72,362.38,0.99,2024-06-17
USP 消音版,崭新出厂,StatTrak™,956583,USP 消音版（StatTrak™） | 破颚者,42,351.5,518.5,1.48,2024-06-17
USP 消音版,破损不堪,普通,836161,USP 消音版 | 远古幻想,2,349.5,382.55,1.09,2024-06-17
USP 消音版,破损不堪,StatTrak™,39760,USP 消音版（StatTrak™） | 疯狂蔓延,3,349.5,435.29,1.25,2024-06-17
USP 消音版,崭新出厂,普通,857686,USP 消音版 | 倒吊人,205,349,486.07,1.39,2024-06-17
USP 消音版,崭新出厂,普通,42157,USP 消音版 | 商业皮革,24,343.2,566.16,1.65,2024-06-17
USP 消音版,略有磨损,StatTrak™,857705,USP 消音版（StatTrak™） | 倒吊人,162,332.43,500.36,1.51,2024-06-17
USP 消音版,略有磨损,普通,42163,USP 消音版 | 凯门鳄,52,328.8,440.95,1.34,2024-06-17
USP 消音版,略有磨损,普通,871443,USP 消音版 | 银装素裹,847,328.5,442.54,1.35,2024-06-17
USP 消音版,略有磨损,StatTrak™,39751,USP 消音版（StatTrak™） | 黑色魅影,134,325.49,456.33,1.4,2024-06-17
USP 消音版,略有磨损,普通,42203,USP 消音版 | 猎户,206,315.9,425.78,1.35,2024-06-17
USP 消音版,崭新出厂,普通,835877,USP 消音版 | 远古幻想,51,314.89,443.92,1.41,2024-06-17
USP 消音版,略有磨损,StatTrak™,835802,USP 消音版（StatTrak™） | 小绿怪,63,313.5,433.84,1.38,2024-06-17
USP 消音版,略有磨损,普通,835839,USP 消音版 | 远古幻想,11,306.5,449.0,1.46,2024-06-17
USP 消音版,久经沙场,StatTrak™,39758,USP 消音版（StatTrak™） | 疯狂蔓延,50,294.5,399.81,1.36,2024-06-17
USP 消音版,久经沙场,普通,835857,USP 消音版 | 远古幻想,21,289.8,449.8,1.55,2024-06-17
USP 消音版,久经沙场,普通,42202,USP 消音版 | 猎户,30,288.37,400.54,1.39,2024-06-17
USP 消音版,破损不堪,普通,42164,USP 消音版 | 凯门鳄,2,283.47,338.22,1.19,2024-06-17
USP 消音版,略有磨损,普通,42218,USP 消音版 | 公路杀手,101,282.45,409.46,1.45,2024-06-17
USP 消音版,破损不堪,StatTrak™,43995,USP 消音版（StatTrak™） | 黑色魅影,5,281.48,404.89,1.44,2024-06-17
USP 消音版,战痕累累,StatTrak™,39756,USP 消音版（StatTrak™） | 疯狂蔓延,6,279.5,390.96,1.4,2024-06-17
USP 消音版,久经沙场,普通,42182,USP 消音版 | 枪响人亡,590,278.99,383.49,1.37,2024-06-17
USP 消音版,战痕累累,StatTrak™,900677,USP 消音版（StatTrak™） | 印花集,59,277.59,373.91,1.35,2024-06-17
USP 消音版,崭新出厂,普通,835670,USP 消音版 | 小绿怪,248,274.5,373.48,1.36,2024-06-17
USP 消音版,久经沙场,普通,42162,USP 消音版 | 凯门鳄,17,269,339.67,1.26,2024-06-17
USP 消音版,略有磨损,StatTrak™,39763,USP 消音版（StatTrak™） | 血清,25,250.5,326.39,1.3,2024-06-17
USP 消音版,崭新出厂,StatTrak™,871841,USP 消音版（StatTrak™） | 黑莲花,60,229.4,301.15,1.31,2024-06-17
USP 消音版,略有磨损,普通,42159,USP 消音版 | 商业皮革,14,227.8,309.71,1.36,2024-06-17
USP 消音版,破损不堪,普通,42184,USP 消音版 | 枪响人亡,93,225.79,308.69,1.37,2024-06-17
USP 消音版,久经沙场,普通,900494,USP 消音版 | 印花集,3798,221.5,295.13,1.33,2024-06-17
USP 消音版,略有磨损,纪念品,38118,USP 消音版（纪念品） | 宝蓝之色,241,218.4,325.96,1.49,2024-06-17
USP 消音版,战痕累累,普通,42180,USP 消音版 | 枪响人亡,67,215.49,291.21,1.35,2024-06-17
USP 消音版,崭新出厂,普通,42191,USP 消音版 | 黑色魅影,692,213.99,286.49,1.34,2024-06-17
USP 消音版,久经沙场,普通,42226,USP 消音版 | 血清,7,212.09,277.93,1.31,2024-06-17
USP 消音版,久经沙场,普通,42158,USP 消音版 | 商业皮革,4,208.24,270.82,1.3,2024-06-17
USP 消音版,破损不堪,普通,42160,USP 消音版 | 商业皮革,3,203.49,284.68,1.4,2024-06-17
USP 消音版,久经沙场,StatTrak™,39750,USP 消音版（StatTrak™） | 黑色魅影,152,200.5,278.22,1.39,2024-06-17
USP 消音版,破损不堪,普通,42209,USP 消音版 | 疯狂蔓延,2,198.5,197.33,0.99,2024-06-17
USP 消音版,破损不堪,普通,900631,USP 消音版 | 印花集,149,196.96,267.05,1.36,2024-06-17
USP 消音版,略有磨损,普通,42227,USP 消音版 | 血清,48,194.47,266.98,1.37,2024-06-17
USP 消音版,崭新出厂,普通,775097,USP 消音版 | 寻路者,59,193.4,247.75,1.28,2024-06-17
USP 消音版,久经沙场,普通,775106,USP 消音版 | 寻路者,14,192.38,247.82,1.29,2024-06-17
USP 消音版,久经沙场,StatTrak™,857688,USP 消音版（StatTrak™） | 倒吊人,174,190.38,263.06,1.38,2024-06-17
USP 消音版,崭新出厂,普通,42153,USP 消音版 | 蓝图,300,189.5,274.81,1.45,2024-06-17
USP 消音版,略有磨损,普通,775240,USP 消音版 | 寻路者,15,187.5,247.75,1.32,2024-06-17
USP 消音版,破损不堪,普通,871784,USP 消音版 | 紫色 DDPAT,11,187.42,186.3,0.99,2024-06-17
USP 消音版,久经沙场,普通,871226,USP 消音版 | 银装素裹,371,185.5,249.13,1.34,2024-06-17
USP 消音版,破损不堪,普通,871125,USP 消音版 | 银装素裹,12,180.4,233.82,1.3,2024-06-17
USP 消音版,略有磨损,StatTrak™,39722,USP 消音版（StatTrak™） | 蓝图,287,178.38,259.0,1.45,2024-06-17
USP 消音版,略有磨损,普通,42208,USP 消音版 | 疯狂蔓延,138,177.9,232.23,1.31,2024-06-17
USP 消音版,略有磨损,普通,835635,USP 消音版 | 小绿怪,248,174,237.16,1.36,2024-06-17
USP 消音版,略有磨损,StatTrak™,956603,USP 消音版（StatTrak™） | 破颚者,59,172,235.35,1.37,2024-06-17
USP 消音版,战痕累累,StatTrak™,39748,USP 消音版（StatTrak™） | 黑色魅影,17,169.5,226.42,1.34,2024-06-17
USP 消音版,战痕累累,普通,42156,USP 消音版 | 商业皮革,5,169.47,218.3,1.29,2024-06-17
USP 消音版,久经沙场,普通,42217,USP 消音版 | 公路杀手,114,168.3,216.63,1.29,2024-06-17
USP 消音版,久经沙场,普通,42207,USP 消音版 | 疯狂蔓延,62,168,217.28,1.29,2024-06-17
USP 消音版,战痕累累,普通,871302,USP 消音版 | 银装素裹,60,166.5,218.22,1.31,2024-06-17
USP 消音版,久经沙场,StatTrak™,835661,USP 消音版（StatTrak™） | 小绿怪,97,162.99,228.67,1.4,2024-06-17
USP 消音版,略有磨损,StatTrak™,39767,USP 消音版（StatTrak™） | 不锈钢,608,162.7,211.04,1.3,2024-06-17
USP 消音版,战痕累累,普通,42215,USP 消音版 | 公路杀手,15,162.06,202.55,1.25,2024-06-17
USP 消音版,战痕累累,普通,42205,USP 消音版 | 疯狂蔓延,9,159,229.69,1.44,2024-06-17
USP 消音版,崭新出厂,StatTrak™,45468,USP 消音版（StatTrak™） | 脑洞大开,232,154.5,212.49,1.38,2024-06-17
USP 消音版,破损不堪,StatTrak™,835991,USP 消音版（StatTrak™） | 小绿怪,4,147.47,206.25,1.4,2024-06-17
USP 消音版,破损不堪,StatTrak™,857714,USP 消音版（StatTrak™） | 倒吊人,61,143.78,192.76,1.34,2024-06-17
USP 消音版,崭新出厂,普通,42211,USP 消音版 | 绿色伞兵,71,143,204.0,1.43,2024-06-17
USP 消音版,略有磨损,纪念品,38113,USP 消音版（纪念品） | 公路杀手,149,142.9,202.92,1.42,2024-06-17
USP 消音版,破损不堪,普通,42219,USP 消音版 | 公路杀手,37,142.2,188.33,1.32,2024-06-17
USP 消音版,战痕累累,普通,900600,USP 消音版 | 印花集,493,138.83,190.44,1.37,2024-06-17
USP 消音版,战痕累累,StatTrak™,835933,USP 消音版（StatTrak™） | 小绿怪,9,132.78,150.32,1.13,2024-06-17
USP 消音版,战痕累累,StatTrak™,857695,USP 消音版（StatTrak™） | 倒吊人,56,127,170.49,1.34,2024-06-17
USP 消音版,战痕累累,普通,871220,USP 消音版 | 紫色 DDPAT,10,124.4,155.62,1.25,2024-06-17
USP 消音版,破损不堪,普通,835842,USP 消音版 | 小绿怪,20,123.39,154.45,1.25,2024-06-17
USP 消音版,久经沙场,普通,835636,USP 消音版 | 小绿怪,200,122.5,162.51,1.33,2024-06-17
USP 消音版,略有磨损,普通,42223,USP 消音版 | 宝蓝之色,343,121.88,164.68,1.35,2024-06-17
USP 消音版,崭新出厂,普通,871592,USP 消音版 | 紫色 DDPAT,281,121.48,166.86,1.37,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39744,USP 消音版（StatTrak™） | 铅管,46,119.48,142.41,1.19,2024-06-17
USP 消音版,崭新出厂,普通,956587,USP 消音版 | 破颚者,166,119.39,166.86,1.4,2024-06-17
USP 消音版,破损不堪,普通,42214,USP 消音版 | 绿色伞兵,10,118.84,102.29,0.86,2024-06-17
USP 消音版,略有磨损,普通,42193,USP 消音版 | 黑色魅影,1163,117.5,158.88,1.35,2024-06-17
USP 消音版,久经沙场,普通,871361,USP 消音版 | 紫色 DDPAT,22,116.5,187.68,1.61,2024-06-17
USP 消音版,略有磨损,普通,871355,USP 消音版 | 紫色 DDPAT,81,116.38,162.0,1.39,2024-06-17
USP 消音版,破损不堪,普通,42224,USP 消音版 | 宝蓝之色,10,116.35,151.19,1.3,2024-06-17
USP 消音版,崭新出厂,普通,42229,USP 消音版 | 不锈钢,485,115.5,154.74,1.34,2024-06-17
USP 消音版,久经沙场,普通,42222,USP 消音版 | 宝蓝之色,98,111.8,149.3,1.34,2024-06-17
USP 消音版,战痕累累,普通,42220,USP 消音版 | 宝蓝之色,18,111,159.46,1.44,2024-06-17
USP 消音版,破损不堪,StatTrak™,39768,USP 消音版（StatTrak™） | 不锈钢,11,108.67,137.91,1.27,2024-06-17
USP 消音版,略有磨损,普通,857670,USP 消音版 | 倒吊人,1082,107.5,142.92,1.33,2024-06-17
USP 消音版,久经沙场,纪念品,38112,USP 消音版（纪念品） | 公路杀手,181,97.89,137.19,1.4,2024-06-17
USP 消音版,久经沙场,StatTrak™,956606,USP 消音版（StatTrak™） | 破颚者,94,96.9,130.59,1.35,2024-06-17
USP 消音版,战痕累累,普通,835771,USP 消音版 | 小绿怪,24,95.1,138.93,1.46,2024-06-17
USP 消音版,崭新出厂,纪念品,877164,USP 消音版（纪念品） | 橙红安乐蜥,148,91.39,119.56,1.31,2024-06-17
USP 消音版,破损不堪,普通,42194,USP 消音版 | 黑色魅影,19,84.9,112.45,1.32,2024-06-17
USP 消音版,久经沙场,StatTrak™,39766,USP 消音版（StatTrak™） | 不锈钢,650,83.9,109.26,1.3,2024-06-17
USP 消音版,崭新出厂,纪念品,877105,USP 消音版（纪念品） | 远古幻想,93,82.9,136.61,1.65,2024-06-17
USP 消音版,久经沙场,普通,42192,USP 消音版 | 黑色魅影,1274,81.69,108.53,1.33,2024-06-17
USP 消音版,略有磨损,普通,42213,USP 消音版 | 绿色伞兵,83,80.14,106.86,1.33,2024-06-17
USP 消音版,破损不堪,StatTrak™,956658,USP 消音版（StatTrak™） | 破颚者,26,79.9,103.82,1.3,2024-06-17
USP 消音版,崭新出厂,纪念品,761401,USP 消音版（纪念品） | 引擎故障灯,153,77.2,104.47,1.35,2024-06-17
USP 消音版,破损不堪,纪念品,38114,USP 消音版（纪念品） | 公路杀手,109,75.7,104.83,1.38,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39735,USP 消音版（StatTrak™） | 守护者,667,75.44,100.12,1.33,2024-06-17
USP 消音版,战痕累累,普通,42210,USP 消音版 | 绿色伞兵,10,75.19,98.88,1.32,2024-06-17
USP 消音版,战痕累累,StatTrak™,956613,USP 消音版（StatTrak™） | 破颚者,55,72.6,99.83,1.38,2024-06-17
USP 消音版,久经沙场,普通,42212,USP 消音版 | 绿色伞兵,14,72.6,94.46,1.3,2024-06-17
USP 消音版,战痕累累,纪念品,38110,USP 消音版（纪念品） | 公路杀手,81,72.13,105.19,1.46,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39716,USP 消音版（StatTrak™） | 血虎,67,69.45,91.34,1.32,2024-06-17
USP 消音版,略有磨损,普通,956502,USP 消音版 | 破颚者,314,68.3,90.1,1.32,2024-06-17
USP 消音版,战痕累累,StatTrak™,39764,USP 消音版（StatTrak™） | 不锈钢,60,67.3,92.86,1.38,2024-06-17
USP 消音版,战痕累累,普通,42190,USP 消音版 | 黑色魅影,77,66.9,91.77,1.37,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39729,USP 消音版（StatTrak™） | 次时代,379,66.9,97.87,1.46,2024-06-17
USP 消音版,久经沙场,纪念品,38117,USP 消音版（纪念品） | 宝蓝之色,573,62.9,88.44,1.41,2024-06-17
USP 消音版,久经沙场,普通,857612,USP 消音版 | 倒吊人,1753,62.9,86.11,1.37,2024-06-17
USP 消音版,久经沙场,StatTrak™,39721,USP 消音版（StatTrak™） | 蓝图,360,61.89,86.55,1.4,2024-06-17
USP 消音版,战痕累累,纪念品,38115,USP 消音版（纪念品） | 宝蓝之色,131,60.9,84.81,1.39,2024-06-17
USP 消音版,破损不堪,StatTrak™,39723,USP 消音版（StatTrak™） | 蓝图,31,59.88,97.65,1.63,2024-06-17
USP 消音版,略有磨损,纪念品,877200,USP 消音版（纪念品） | 橙红安乐蜥,132,59.4,85.97,1.45,2024-06-17
USP 消音版,崭新出厂,普通,45369,USP 消音版 | 脑洞大开,656,56.68,77.12,1.36,2024-06-17
USP 消音版,破损不堪,纪念品,38119,USP 消音版（纪念品） | 宝蓝之色,64,55.95,84.74,1.51,2024-06-17
USP 消音版,崭新出厂,纪念品,876915,USP 消音版（纪念品） | 紫色 DDPAT,491,54.77,76.47,1.4,2024-06-17
USP 消音版,略有磨损,纪念品,877018,USP 消音版（纪念品） | 远古幻想,69,54.2,78.5,1.45,2024-06-17
USP 消音版,略有磨损,普通,42154,USP 消音版 | 蓝图,1337,54.1,75.6,1.4,2024-06-17
USP 消音版,略有磨损,StatTrak™,39737,USP 消音版（StatTrak™） | 守护者,389,53.9,73.49,1.36,2024-06-17
USP 消音版,略有磨损,StatTrak™,45401,USP 消音版（StatTrak™） | 脑洞大开,469,53.6,75.96,1.42,2024-06-17
USP 消音版,崭新出厂,普通,871550,USP 消音版 | 黑莲花,253,50.9,73.71,1.45,2024-06-17
USP 消音版,久经沙场,纪念品,877185,USP 消音版（纪念品） | 橙红安乐蜥,83,47.57,60.65,1.27,2024-06-17
USP 消音版,略有磨损,StatTrak™,871421,USP 消音版（StatTrak™） | 黑莲花,337,47.5,66.31,1.4,2024-06-17
USP 消音版,破损不堪,普通,857519,USP 消音版 | 倒吊人,421,46.91,64.64,1.38,2024-06-17
USP 消音版,略有磨损,普通,42231,USP 消音版 | 不锈钢,1439,44.1,61.88,1.4,2024-06-17
USP 消音版,久经沙场,普通,956527,USP 消音版 | 破颚者,558,42.76,57.02,1.33,2024-06-17
USP 消音版,战痕累累,普通,857640,USP 消音版 | 倒吊人,324,42.74,56.51,1.32,2024-06-17
USP 消音版,崭新出厂,普通,42149,USP 消音版 | 血虎,95,42.39,55.64,1.31,2024-06-17
USP 消音版,破损不堪,纪念品,877082,USP 消音版（纪念品） | 远古幻想,14,40.75,63.12,1.55,2024-06-17
USP 消音版,破损不堪,普通,956520,USP 消音版 | 破颚者,170,38.79,42.8,1.1,2024-06-17
USP 消音版,久经沙场,纪念品,877053,USP 消音版（纪念品） | 远古幻想,80,37.59,49.26,1.31,2024-06-17
USP 消音版,略有磨损,纪念品,761402,USP 消音版（纪念品） | 引擎故障灯,153,35.6,49.33,1.39,2024-06-17
USP 消音版,崭新出厂,普通,42177,USP 消音版 | 守护者,1255,35.39,45.2,1.28,2024-06-17
USP 消音版,战痕累累,StatTrak™,39719,USP 消音版（StatTrak™） | 蓝图,51,34.5,46.43,1.35,2024-06-17
USP 消音版,略有磨损,纪念品,876904,USP 消音版（纪念品） | 紫色 DDPAT,473,33.8,43.53,1.29,2024-06-17
USP 消音版,破损不堪,纪念品,761515,USP 消音版（纪念品） | 引擎故障灯,14,32.61,42.08,1.29,2024-06-17
USP 消音版,略有磨损,StatTrak™,39731,USP 消音版（StatTrak™） | 次时代,360,32.34,44.47,1.38,2024-06-17
USP 消音版,战痕累累,普通,956575,USP 消音版 | 破颚者,195,31.49,39.18,1.24,2024-06-17
USP 消音版,破损不堪,普通,42232,USP 消音版 | 不锈钢,24,30.43,45.56,1.5,2024-06-17
USP 消音版,崭新出厂,StatTrak™,887052,USP 消音版（StatTrak™） | 地狱门票,334,29.09,43.89,1.51,2024-06-17
USP 消音版,略有磨损,普通,42179,USP 消音版 | 守护者,673,27.45,35.33,1.29,2024-06-17
USP 消音版,破损不堪,普通,42155,USP 消音版 | 蓝图,39,27.3,38.81,1.42,2024-06-17
USP 消音版,略有磨损,StatTrak™,39746,USP 消音版（StatTrak™） | 铅管,182,27.2,37.14,1.37,2024-06-17
USP 消音版,久经沙场,StatTrak™,45346,USP 消音版（StatTrak™） | 脑洞大开,595,27.19,39.18,1.44,2024-06-17
